LR,KNN
844.2500417282264,824.620362944882
469.02551206502915,491.23280948249203
1217.0445210483156,1246.143418186915
556.9522698812182,563.3836342805787
1074.7064645105688,1076.3626661777025
553.3803077136195,560.5124894847185
774.4331086625295,757.8011835860293
585.0988946179226,585.2144436469243
996.283703974578,988.9730001011987
1077.5268605865524,1077.7751886408576
1206.5386931597611,1233.8682337782575
467.63331492355763,490.1635083048975
892.3236633059709,877.2091307051858
768.5758471082713,753.2466769229285
658.355788518945,650.6184192606897
709.1360085474242,696.3305128836307
1177.1000299250277,1198.55857019079
1161.6977022736512,1181.2514361091426
1213.899005971959,1242.052873416685
1074.929380413208,1076.3626661777025
561.9833443072484,564.5064994011725
648.6575401849898,643.257956804849
1046.3678562426726,1044.234291314405
1094.3654508514928,1096.493134990405
873.9110628695275,857.7345723861392
546.2259478603581,554.2003663081493
1041.9781417939416,1039.7516447329426
497.5001247347343,514.4839130412812
997.809747813523,986.9389655049382
1100.736711972056,1105.407818011115
828.8991348181258,810.1347679999875
870.5070586804663,854.1799819075079
968.7944401898601,960.1324412850284
455.4994300050178,482.73808240414877
519.8680120690453,532.2442039267362
985.4258737126353,973.594573278692
496.52893731390355,512.3421176948162
684.7150284597303,673.3738700594497
1047.2819201154539,1044.5582945279025
711.01905669494,697.57358512654
862.4650644262795,846.0164012672808
1150.0233938141282,1165.7062905683474
790.3227314007265,773.8096226441551
695.0619503768049,684.4884752996942
467.55946746218603,489.58428987731776
742.4501639191158,728.7244875649232
659.7849149122798,650.6184192606897
648.9404643285274,641.4388431630011
897.3359794326498,879.5609558702206
935.4348945051612,924.1568807147382
683.7319521853368,671.7004304646408
984.7849826114436,975.9870130971785
858.3754929777067,843.2972306569703
1044.7501822987772,1040.7954999094
953.9165536192475,941.047650341661
831.8205074891225,813.22430671523
789.8156973048953,772.5477876743142
689.2308593264274,677.0292742386277
965.172334149408,954.525397356872
434.3891219225985,465.6684132676832
754.1822831438567,741.4226703047941
1116.1273351797674,1119.7289379921526
730.2511804303261,719.2139215704112
1107.4495816789477,1115.3359592589925
751.572762699067,737.5680150280112
1023.374003313723,1017.2247661619151
1028.1356377359468,1022.5434238877174
691.9020442597089,681.069926330017
1071.44071798193,1072.818201331175
1084.6800316972096,1087.1208847456026
1229.8616074215834,1261.7562415430025
1128.5740015231256,1141.5120449878025
561.1220977478862,564.5064994011725
908.331956095807,892.3173742075983
621.7634742814853,617.8146034313
819.816804784542,802.8641421169236
1028.9411136283445,1022.9715550411275
450.10101528624887,478.6192645992827
1195.271725912531,1218.8618121366226
1184.3274456762488,1206.9822379116977
1148.3325841834155,1163.7878314372924
916.6661138097936,897.5666508962585
688.1239309287869,677.0292742386277
958.4536315726517,943.4239712775018
630.9081465200862,623.7497472218943
1108.3446257484661,1115.3359592589925
1203.0438088388041,1226.47251134421
796.742540868757,780.5390764786453
1189.388659253651,1210.7463456754774
574.9740847360073,579.8464439791685
903.6505482374637,885.7237110830463
751.1750477791106,737.5680150280112
1202.5447334610622,1226.47251134421
553.4398331561924,558.4684622221387
830.2798683390284,813.22430671523
1029.7852766505064,1023.69702080395
596.3149313627664,596.2202201951825
755.2997255789255,741.4226703047942
818.3129607200544,800.8812911815257
793.749016150496,776.8523294821945
